8761,
8762,
8763,
8764,
8765,
8766,
8767,
8768,
8769,
8770,
8771,
8772,
8773,
8774,
8775,
8776,
8777,
8778,
8779,
8780,
8781,
8782,
8783,
8833,
8834,
8835,
8836,
8837,
8838,
8839,
8840,
8841,
8842,
8843,
8844,
8845,
8846,
8847,
8848,
8849,
8850,
8851,
8852,
8853,
8854,
8855,
8881,
8882,
8883,
8884,
8885,
8886,
8887,
8888,
8889,
8890,
8891,
8892,
8893,
8894,
8895,
8896,
8897,
8898,
8899,
8900,
8901,
8902,
8903,
8977,
8978,
8979,
8980,
8981,
8982,
8983,
8984,
8985,
8986,
8987,
8988,
8989,
8990,
8991,
8992,
8993,
8994,
8995,
8996,
8997,
8998,
8999,
9169,
9170,
9171,
9172,
9173,
9174,
9175,
9176,
9177,
9178,
9179,
9180,
9181,
9182,
9183,
9184,
9185,
9186,
9187,
9188,
9189,
9190,
9191,
9217,
9218,
9219,
9220,
9221,
9222,4.0
9223,
9224,7.0
9225,
9226,4.0
9227,
9228,
9229,8.0
9230,6.0
9231,7.0
9232,7.0
9233,3.0
9234,
9235,7.0
9236,8.0
9237,
9238,10.0
9239,
9265,
9266,
9267,
9268,
9269,7.0
9270,
9271,
9272,
9273,11.0
9274,
9275,
9276,4.0
9277,
9278,6.0
9279,7.0
9280,
9281,8.0
9282,
9283,
9284,10.0
9285,4.0
9286,8.0
9287,
9337,
9338,
9339,7.0
9340,
9341,9.0
9342,6.0
9343,10.0
9344,
9345,7.0
9346,
9347,6.0
9348,
9349,
9350,
9351,6.0
9352,
9353,
9354,5.0
9355,8.0
9356,
9357,
9358,7.0
9359,8.0
9385,4.0
9386,6.0
9387,5.0
9388,7.0
9389,
9390,4.0
9391,4.0
9392,
9393,2.0
9394,7.0
9395,2.0
9396,
9397,10.0
9398,
9399,
9400,
9401,4.0
9402,
9403,6.0
9404,6.0
9405,
9406,7.0
9407,7.0
9433,
9434,5.0
9435,7.0
9436,
9437,3.0
9438,
9439,4.0
9440,
9441,5.0
9442,6.0
9443,5.0
9444,7.0
9445,5.0
9446,
9447,7.0
9448,7.0
9449,
9450,
9451,
9452,
9453,
9454,
9455,
9529,
9530,3.0
9531,
9532,1.0
9533,
9534,
9535,
9536,7.0
9537,
9538,
9539,3.0
9540,
9541,7.0
9542,
9543,2.0
9544,
9545,
9546,8.0
9547,5.0
9548,7.0
9549,4.0
9550,5.0
9551,
9625,7.0
9626,9.0
9627,
9628,9.0
9629,
9630,
9631,
9632,
9633,
9634,7.0
9635,
9636,
9637,
9638,5.0
9639,
9640,
9641,7.0
9642,
9643,9.0
9644,5.0
9645,
9646,9.0
9647,
9673,
9674,6.0
9675,4.0
9676,7.0
9677,
9678,
9679,
9680,5.0
9681,
9682,9.0
9683,6.0
9684,5.0
9685,
9686,7.0
9687,
9688,4.0
9689,
9690,
9691,
9692,4.0
9693,
9694,
9695,6.0
9721,3.0
9722,
9723,
9724,7.0
9725,7.0
9726,4.0
9727,9.0
9728,5.0
9729,4.0
9730,
9731,3.0
9732,6.0
9733,
9734,4.0
9735,5.0
9736,7.0
9737,
9738,6.0
9739,
9740,
9741,
9742,9.0
9743,
9889,9.0
9890,4.0
9891,
9892,3.0
9893,2.0
9894,
9895,7.0
9896,5.0
9897,
9898,6.0
9899,
9900,9.0
9901,
9902,4.0
9903,7.0
9904,8.0
9905,5.0
9906,5.0
9907,
9908,5.0
9909,4.0
9910,
9911,
9937,
9938,
9939,
9940,
9941,
9942,
9943,10.0
9944,
9945,8.0
9946,
9947,
9948,
9949,6.0
9950,
9951,
9952,9.0
9953,
9954,4.0
9955,
9956,6.0
9957,
9958,
9959,9.0
9985,10.0
9986,7.0
9987,5.0
9988,11.0
9989,
9990,4.0
9991,11.0
9992,
9993,9.0
9994,
9995,
9996,
9997,
9998,
9999,6.0
10000,
10001,
10002,
10003,11.0
10004,
10005,
10006,5.0
10007,
10057,6.0
10058,7.0
10059,
10060,11.0
10061,
10062,
10063,6.0
10064,13.0
10065,8.0
10066,
10067,
10068,
10069,4.0
10070,5.0
10071,
10072,
10073,8.0
10074,9.0
10075,2.0
10076,7.0
10077,
10078,5.0
10079,
10105,
10106,6.0
10107,2.0
10108,
